oid,label,n_det,t_span
ZTF21aawckpe,SN Ia,26,77.926
ZTF21aawgzda,SN II,36,57.167
ZTF21aawlwoy,SN Ia,31,43.995
ZTF21aawtazf,SN Ia,44,31.975
ZTF21aaxgowh,CV,26,577.239
ZTF21aaxjvyl,SN II,42,31.917
ZTF21aaxtctv,SN Ic,50,202.34
ZTF21aaxtije,SN IIn,226,188.872
ZTF21aaxwpyv,SLSN-I,157,1911.761
ZTF21aaydxoo,SN IIn,32,41.961
ZTF21aaygchh,CV,12,59.946
ZTF21aaygmrl,SN IIn,146,107.862
ZTF21aaygqkb,SN Ic,71,105.847
ZTF21aaylpht,CV,20,1817.011
ZTF21aaylroe,CV,10,1052.072
ZTF21aazybsh,SN II,52,84.836
ZTF21abaauot,AGN,34,530.726
ZTF21ababatx,AGN,346,1830.002
ZTF21abaiono,SLSN-I,14,17.063
ZTF21abbkwhn,CV,20,1412.151
ZTF21abbqeea,SLSN-I,74,123.851
ZTF21abbxnbm,CV,37,391.976
ZTF21abcgaln,SN Ic,56,120.827
ZTF21abcpsjy,SLSN-I,59,110.938
ZTF21abdmevk,SN II,96,716.039
ZTF21abezcph,CV,28,34.979
ZTF21abflgpq,SN Ia,35,67.898
ZTF21abfmuun,SN Ia,13,17.999
ZTF21abfnjiu,SN Ia,67,51.932
ZTF21abfoxwp,SN Ia,19,46.896
ZTF21abghumo,SN IIn,90,146.791
ZTF21abgjdtt,CV,27,44.876
ZTF21abhqhqb,SN II,29,29.986
ZTF21abhqqfa,SN IIn,37,65.856
ZTF21abhthvj,SN Ia,15,41.981
ZTF21abiacoi,SN Ia,39,80.936
ZTF21abicgai,SN Ia,39,79.978
ZTF21abidtrd,SN Ia,29,65.962
ZTF21abiwpjm,SN IIn,66,322.07
ZTF21abjamta,SN II,16,44.964
ZTF21abjhiqp,SN IIn,58,99.821
ZTF21abjtqyq,SN Ia,91,1118.961
ZTF21abklcjq,SN Ic,45,66.939
ZTF21abnvlnj,SN II,13,27.987
ZTF21abouznj,SN II,24,52.965
ZTF21abowrey,SN Ia,15,31.979
ZTF21abpxquj,SN IIn,100,104.792
ZTF21abqjjrb,SN II,25,43.91
ZTF21abraccv,SN Ic,49,95.8
ZTF21abrfvax,SN Ic,19,116.375
ZTF21abrqria,SLSN-I,70,97.945
ZTF21abrxoir,SN Ia,105,93.799
ZTF21absvlrr,SN Ia,112,111.798
ZTF21absyjff,SLSN-I,58,99.875
ZTF21abtdvpg,SN IIn,102,310.062
ZTF21abtorlk,SN IIn,50,91.883
ZTF21abtxxdq,SN II,112,245.712
ZTF21abufayv,SN Ia,30,44.84
ZTF21abugfqj,CV,54,1440.189
ZTF21abujgmr,SN IIn,77,649.978
ZTF21abvcxel,SN II,50,87.904
ZTF21abvcxid,SN II,46,88.86
ZTF21abvdikq,SN II,51,77.875
ZTF21abvuttc,SN Ia,34,69.885
ZTF21abvwuxm,SN Ia,26,71.909
ZTF21abxlmuw,SN IIn,96,476.864
ZTF21abxnghi,SN Ia,22,55.891
ZTF21abxniow,SN Ia,18,29.954
ZTF21abxowzx,AGN,449,1785.146
ZTF21abxtfwo,SN IIn,35,81.841
ZTF21abzxkyv,SN Ia,28,39.965
ZTF21acaohjl,CV,13,17.002
ZTF21acaspdb,SN Ia,17,22.99
ZTF21acbphas,SN Ia,16,33.945
ZTF21acbxtqq,SN Ia,21,58.943
ZTF21accgsbf,SN IIn,131,462.768
ZTF21accwovq,SLSN-I,35,71.852
ZTF21acdkbai,SN Ia,14,51.896
ZTF21acdphro,SN Ia,21,45.958
ZTF21aceejop,CV,11,31.048
ZTF21acenkuf,SN Ia,28,55.88
ZTF21acfajbc,SN II,35,199.789
ZTF21acgrero,CV,18,33.014
ZTF21acisemu,SN Ia,14,30.975
ZTF21aciubsk,CV,72,274.171
ZTF21acjjtmh,CV,12,5.998
ZTF21acjnzdh,SN Ia,14,22.901
ZTF21acjoorl,SN Ic,15,19.953
ZTF21acjxjpu,SN Ic,15,121.766
ZTF21acjxzsa,SN Ic,19,150.883
ZTF21ackrvob,SN Ia,10,11.062
ZTF22aaabnwa,SN Ia,31,78.777
ZTF22aaabpqn,SN II,40,84.952
ZTF22aaaedvr,SN II,45,135.789
ZTF22aaaenuc,SN Ia,16,40.946
ZTF22aaaepck,SN II,23,41.053
ZTF22aaaffxq,SN Ia,11,51.092
ZTF22aaafkvn,SN Ic,39,94.931
ZTF22aaafrcl,SN II,27,69.872
ZTF22aaagtej,SN II,20,234.332
ZTF22aaagvdj,CV,179,1316.275
ZTF22aaahglh,SN Ia,10,18.014
ZTF22aaajbnz,SN IIn,12,55.832
ZTF22aaajuya,SN Ia,21,59.995
ZTF22aaakran,AGN,254,1280.703
ZTF22aaavods,SN II,15,72.0
ZTF22aabhpei,CV,11,1127.922
ZTF22aabvetw,SN Ia,18,84.928
ZTF22aabwemz,SN IIn,11,41.851
ZTF22aabwxtw,AGN,396,1437.143
ZTF22aabxuxf,SN IIn,147,426.009
ZTF22aacfkpb,SN Ia,34,218.29
ZTF22aacruke,SN Ia,10,61.801
ZTF22aadesap,AGN,479,1403.199
ZTF22aadesjc,SN IIn,147,377.119
ZTF22aadeuwu,SLSN-I,95,152.878
ZTF22aadolby,SN II,71,103.036
ZTF22aadqgoa,SLSN-I,31,76.914
ZTF22aadtowh,SN II,27,38.025
ZTF22aaedebi,SN II,24,35.004
ZTF22aaemoot,SN II,22,49.959
ZTF22aaetqzk,SN IIn,184,941.711
ZTF22aafapdd,CV,22,1223.764
ZTF22aagvtzz,SN IIn,46,106.902
ZTF22aagvxjc,SN IIn,85,123.835
ZTF22aagzmcz,SN Ic,14,44.977
ZTF22aahgubb,SN II,29,38.046
ZTF22aaikzzr,SN Ia,14,22.053
ZTF22aaitzvr,SN II,55,77.937
ZTF22aajcupz,SN IIn,47,63.046
ZTF22aajijjf,SN Ia,58,83.937
ZTF22aajjqti,CV,56,74.894
ZTF22aajltzm,CV,52,1421.132
ZTF22aajluly,CV,21,34.004
ZTF22aajowwt,SN II,32,75.845
ZTF22aajsdkt,SN II,91,1391.16
ZTF22aajsqdv,SN Ia,21,33.917
ZTF22aajtsxd,CV,22,21.046
ZTF22aakhqrd,CV,24,974.233
ZTF22aakyeps,SLSN-I,48,54.016
ZTF22aalzjdc,SLSN-I,30,46.936
ZTF22aamzzjw,SN Ia,79,53.996
ZTF22aanesux,SN IIn,161,676.142
ZTF22aanjyae,SN IIn,209,344.088
ZTF22aanmbrl,SN II,78,84.989
ZTF22aanrqje,SN II,61,111.913
ZTF22aanwibf,SN IIn,288,434.015
ZTF22aanyxmg,SN IIn,25,949.698
ZTF22aanzbru,SN II,20,88.995
ZTF22aanzrlh,SN Ia,56,76.813
ZTF22aaofdht,CV,38,648.101
ZTF22aaohilj,SN IIn,67,101.777
ZTF22aaoippk,SN Ia,34,59.862
ZTF22aaokebo,SN II,52,81.874
ZTF22aaokiud,SN Ia,106,126.93
ZTF22aaoolfh,SN Ia,32,75.947
ZTF22aaoolua,SN Ic,24,68.931
ZTF22aaoqfsm,SN Ia,36,49.081
ZTF22aaoskwd,SN Ia,24,31.022
ZTF22aaowhti,SN Ia,20,38.962
ZTF22aapgtoe,CV,34,839.888
ZTF22aapjqpn,SLSN-I,94,155.764
ZTF22aapmawo,SN IIn,18,20.94
ZTF22aarntxu,CV,29,1089.039
ZTF22aarqrxf,SLSN-I,54,101.852
ZTF22aarqzls,SN Ia,47,86.844
ZTF22aarrawv,SN IIn,73,117.942
ZTF22aarwpcf,SN Ia,26,54.876
ZTF22aaslyzf,SN II,20,38.853
ZTF22aaszlph,SN Ia,49,83.866
ZTF22aatfjcy,SN IIn,95,347.016
ZTF22aativsd,SN II,120,282.078
ZTF22aattfmb,SN II,47,99.899
ZTF22aavcvgd,SN II,50,90.839
ZTF22aaybwtp,CV,19,35.939
ZTF22aaygscd,SN II,31,77.924
ZTF22aazpfxt,SN Ia,23,54.943
ZTF22aazuqah,CV,40,41.041
ZTF22abanshu,AGN,14,20.977
ZTF22abbdxho,SN Ic,10,16.933
ZTF22abbgyvi,SN Ia,58,66.824
ZTF22abbiwrr,SN II,54,102.853
ZTF22abckjon,SN II,46,121.723
ZTF22abcvfgs,SLSN-I,57,121.726
ZTF22abebxpb,AGN,53,490.677
ZTF22abevczq,CV,27,46.938
ZTF22abewvtv,SN II,70,220.724
ZTF22abeyzcl,SN IIn,35,62.832
ZTF22abfrkoh,SN Ic,31,80.73
ZTF22abfskre,SN Ia,27,55.811
ZTF22abfuoce,SN Ia,18,29.039
ZTF22abfuyqr,SN Ia,31,1361.221
ZTF22abfyvhf,SN IIn,32,96.917
ZTF22abgcigh,CV,19,29.941
ZTF22abghrui,SN IIn,113,254.666
ZTF22abhclyh,SN IIn,62,171.731
ZTF22abhsxkn,SN Ia,28,38.955
ZTF22abhwlnm,SN IIn,131,497.736
ZTF22abiupzw,SN IIn,59,60.947
ZTF22abizuah,SN IIn,93,522.748
ZTF22abjpcjy,SN Ia,65,62.827
ZTF22abjrcte,SN Ia,12,116.401
ZTF22abjrrea,SN II,11,15.949
ZTF22abkbmob,SLSN-I,46,140.72
ZTF22abllclb,SN Ic,19,25.966
ZTF22abmonux,SN Ic,21,39.964
ZTF22abmxsoc,SN Ic,35,71.919
ZTF22abnfjsm,SN IIn,204,808.947
ZTF22abqbqty,SN II,30,55.897
ZTF22abqpflu,SN Ia,16,29.978
ZTF22absmdsy,SN II,22,72.92
ZTF22abspgzy,SN Ia,25,54.118
ZTF22absqhkw,SN II,31,48.874
ZTF22abstcjq,SN Ia,36,49.964
ZTF22abtcpig,SN IIn,119,413.777
ZTF22abtctzp,SN II,31,83.869
ZTF22abtfczg,SN II,27,85.881
ZTF22abtjcbg,SN Ia,35,37.916
ZTF22abtlaew,SN Ia,22,41.026
ZTF22abtmrfr,SN II,34,85.833
ZTF22abtondh,CV,18,1174.808
ZTF22abtsypf,SN IIn,100,348.984
ZTF22abuhfdv,SN Ia,11,16.986
ZTF22abulmbx,SN Ia,20,36.949
ZTF22abvcnnl,SLSN-I,27,85.886
ZTF22abvmfrq,SN II,10,64.921
ZTF22abxltfq,SN IIn,67,211.67
ZTF22abxmdxh,SN Ia,10,32.968
ZTF22abyanxw,AGN,44,1240.693
ZTF22abyiisu,SN II,13,43.951
ZTF22abynkpz,SLSN-I,34,138.81
ZTF22abyuxlw,SN Ia,40,134.924
ZTF22abzgbtq,SN IIn,230,423.905
ZTF22abztcly,SN Ic,198,250.294
ZTF22acahury,SN II,21,85.976
ZTF23aaaahln,SN Ia,18,40.037
ZTF23aaabzea,SN IIn,114,905.681
ZTF23aaahuzc,SN Ia,11,63.869
ZTF23aaaigqy,SN II,84,270.225
ZTF23aaamjwv,CV,19,57.934
ZTF23aaanxbm,CV,23,48.083
ZTF23aaarvxj,SLSN-I,41,111.912
ZTF23aaavyag,SN IIn,90,197.766
ZTF23aaawatw,SN II,66,1093.059
ZTF23aaazffe,SN Ic,35,123.88
ZTF23aaaznjk,SN Ic,10,22.035
ZTF23aabkxss,AGN,235,1158.836
ZTF23aabmbdj,SN Ia,11,22.012
ZTF23aabrgtk,CV,28,452.914
ZTF23aaccacy,SLSN-I,69,213.198
ZTF23aachsdv,SN Ic,19,85.874
ZTF23aaclqtq,SN II,26,80.962
ZTF23aacnkyh,SN Ia,29,95.897
ZTF23aacvise,SN Ia,18,67.938
ZTF23aaczpmh,SN Ia,18,42.021
ZTF23aaczunw,SN IIn,65,334.177
ZTF23aadaxfn,SN Ic,22,85.039
ZTF23aadbbxv,SN II,31,75.03
ZTF23aadbswn,SN Ia,26,64.875
ZTF23aadbzfq,SN II,39,87.897
ZTF23aadcgak,SN II,36,136.76
ZTF23aadchqd,SN IIn,240,518.771
ZTF23aadjoew,SN Ic,75,1040.174
ZTF23aadruma,SN II,43,86.752
ZTF23aadtvmb,SN IIn,41,323.955
ZTF23aadudtr,SN Ic,16,994.23
ZTF23aaecexq,SN IIn,70,107.914
ZTF23aaecgwh,SN Ic,24,49.934
ZTF23aaekejj,SN Ia,25,42.98
ZTF23aaekwbn,SN II,73,283.064
ZTF23aaelbbq,SN Ia,30,29.999
ZTF23aaemgto,SN Ia,48,59.874
ZTF23aaemnzd,SN Ic,21,43.974
ZTF23aaeqonb,SN II,32,75.914
ZTF23aaexcmm,SN Ia,24,35.998
ZTF23aafwykt,SN Ic,18,39.88
ZTF23aaggwfh,SN II,20,44.968
ZTF23aaghvkj,SN Ia,31,60.953
ZTF23aagkutf,SN II,25,49.931
ZTF23aaglprc,SN Ia,29,41.028
ZTF23aagqyym,SN II,18,42.005
ZTF23aahyznf,SN Ia,42,71.908
ZTF23aaicagr,SN Ia,19,31.978
ZTF23aaixdcm,SN II,108,190.707
ZTF23aajahua,SN Ia,22,41.905
ZTF23aajakys,SN Ic,26,34.01
ZTF23aajfere,SN Ic,51,88.816
ZTF23aajhosl,SN II,20,39.991
ZTF23aajkisd,SN IIn,52,105.99
ZTF23aajmpsa,SN Ia,44,64.918
ZTF23aajpxbm,SN Ic,68,124.842
ZTF23aajsjon,SN II,30,83.791
ZTF23aakstht,SN Ic,74,141.859
ZTF23aalftvv,SN II,89,175.727
ZTF23aalgqsq,SN IIn,193,407.017
ZTF23aaltnze,SN Ia,37,61.829
ZTF23aamsavc,SN Ia,16,26.035
ZTF23aamshoi,SN IIn,142,436.943
ZTF23aamskdj,SN II,202,456.916
ZTF23aamubjk,SN Ia,34,53.973
ZTF23aansdlc,SN IIn,35,55.929
ZTF23aaohqcn,SN IIn,107,461.951
ZTF23aaphnyz,SN II,76,136.874
ZTF23aapsuva,SN IIn,105,165.726
ZTF23aapvsqz,SN Ia,49,98.824
ZTF23aapwlkh,SN II,43,82.896
ZTF23aaqmwto,SN II,51,103.82
ZTF23aaquolj,SN IIn,84,126.828
ZTF23aarfblz,SN Ia,23,46.933
ZTF23aarzbzn,SN Ia,24,43.947
ZTF23aasbvab,SN II,145,115.83
ZTF23aatdcey,SN IIn,68,144.794
ZTF23aavdhtr,SN Ia,10,20.045
ZTF23aavecfo,SN II,25,60.044
ZTF23aavmthe,SN IIn,73,512.695
ZTF23aavvckk,SN IIn,61,167.708
ZTF23aavvdix,SN II,120,103.914
ZTF23aawtmcf,SN Ic,21,65.917
ZTF23aazodoj,SLSN-I,49,80.916
ZTF23abawgqs,SN Ia,13,42.994
ZTF23abaxlrz,SN Ic,53,97.804
ZTF23abaxtlq,SN II,115,102.817
ZTF23abbanlv,SN II,22,28.916
ZTF23abbaqbs,SN Ia,25,38.906
ZTF23abbccir,SN II,55,117.799
ZTF23abbcdlp,SN Ia,30,47.925
ZTF23abbekte,SN Ia,32,44.966
ZTF23abbzhug,SN II,60,94.804
ZTF23abcglga,SN Ic,45,88.795
ZTF23abdshvl,SN Ic,32,80.835
ZTF23abhvsbo,SN Ia,21,106.415
ZTF23abhweyr,SN II,26,730.053
ZTF23abhzcbs,SN Ia,19,39.999
ZTF23abhzfww,SN II,36,117.887
ZTF23abhzwll,SN Ia,20,42.967
ZTF23abjarpv,SLSN-I,27,66.871
ZTF23abjbkau,SN Ia,12,14.968
ZTF23abjhbcr,SLSN-I,17,24.949
ZTF23abjhwem,SN IIn,66,368.951
ZTF23abjikaf,SN IIn,39,66.836
ZTF23abjrolk,SN Ic,19,60.921
ZTF23abjvuwc,SN IIn,88,447.83
ZTF23abjzcde,SN II,30,111.889
ZTF23abkhwgb,SN IIn,56,188.721
ZTF23abkphfu,SN IIn,25,81.887
ZTF23ablaxwm,SN II,26,87.925
ZTF23ablutgq,SN IIn,11,24.971
ZTF23abnpdod,CV,28,487.425
ZTF23aboebgh,SLSN-I,50,157.725
ZTF23abogwmg,SN Ia,32,77.0
ZTF23abomtjc,SN Ic,111,103.713
ZTF23aboywdj,SN II,24,104.815
ZTF23abpnqng,SN II,15,69.962
ZTF23abqimmw,SN IIn,118,445.952
ZTF23abqkppm,SN II,43,142.757
ZTF23abrydus,SN IIn,14,54.032
ZTF23absbjlp,SN Ic,11,26.931
ZTF23absdibx,SN IIn,26,90.854
ZTF23absgcqv,SN Ic,18,39.953
ZTF23absjbyu,SN Ia,16,517.771
ZTF23absjgik,SN Ia,39,144.743
ZTF23abtcveg,SN Ia,33,67.025
ZTF23abtjrbz,SN Ic,19,86.772
ZTF23abtycgb,SN II,20,35.007
ZTF23abvokyz,SLSN-I,19,58.007
ZTF23abvryfw,SN Ia,33,147.78
ZTF24aaabybk,SN Ic,13,38.957
ZTF24aaaimkm,SLSN-I,15,42.044
ZTF24aabbxvs,AGN,572,844.811
ZTF24aabppgn,SN II,24,115.818
ZTF24aabpzuz,SN II,58,327.882
ZTF24aabqfbn,SN II,27,64.904
ZTF24aacrbua,SLSN-I,76,193.688
ZTF24aacxzca,SN II,16,81.816
ZTF24aadauao,SN Ia,12,32.93
ZTF24aadfmaf,SLSN-I,70,173.769
ZTF24aaegbrh,SN II,13,38.99
ZTF24aaerzgz,SN IIn,175,294.572
ZTF24aaffjrc,SN Ia,16,50.863
ZTF24aafqxmg,SN IIn,133,220.713
ZTF24aagfeti,SLSN-I,95,179.689
ZTF24aagkjca,SN Ic,11,63.886
ZTF24aagterj,SLSN-I,16,53.99
ZTF24aagtesv,SN IIn,17,69.911
ZTF24aagtmbq,SN Ic,25,83.862
ZTF24aagtqam,SN II,45,100.777
ZTF24aagwnen,SN Ia,36,155.281
ZTF24aahdfdo,SN IIn,46,110.82
ZTF24aahgqwk,SN II,77,260.244
ZTF24aahhanf,SN II,24,66.047
ZTF24aahmyct,SN II,22,67.831
ZTF24aahnutv,SLSN-I,65,144.782
ZTF24aahoxay,SN II,19,60.935
ZTF24aahtdhb,SN IIn,57,101.907
ZTF24aahxmmu,SN II,50,74.938
ZTF24aaieino,SN Ia,21,39.912
ZTF24aaifila,SN IIn,191,205.702
ZTF24aaimzkp,SN II,40,108.856
ZTF24aaisnlp,SN IIn,111,147.89
ZTF24aajqwsm,SN Ia,63,103.793
ZTF24aajzrsq,SN II,36,55.875
ZTF24aakfltk,SN Ia,41,43.129
ZTF24aakftxp,SN Ic,18,55.899
ZTF24aalbxfh,CV,17,9.017
ZTF24aalcflg,SN Ia,38,46.981
ZTF24aaleeji,SN IIn,82,125.808
ZTF24aalsuwb,SN Ia,32,40.919
ZTF24aamiomv,SN IIn,77,385.946
ZTF24aamtvxb,SN Ia,43,331.99
ZTF24aamyrwl,CV,24,63.921
ZTF24aanbjel,SN II,169,135.883
ZTF24aanmitt,AGN,135,86.88
ZTF24aaooxcd,SN II,39,83.885
ZTF24aaoupgb,SN II,61,104.964
ZTF24aaowjlw,SLSN-I,62,209.221
ZTF24aapadbb,SLSN-I,100,271.089
ZTF24aapexhw,SN II,47,215.221
ZTF24aapgvir,CV,11,15.022
ZTF24aarafaw,SN Ia,27,53.017
ZTF24aasnamf,SN Ia,40,92.006
ZTF24aasqeih,SLSN-I,17,45.935
ZTF24aateouu,SN Ic,15,32.96
ZTF24aatjphv,SN IIn,137,430.977
ZTF24aaugxzp,SN II,58,99.876
ZTF24aawakwl,SN II,128,678.1
ZTF24aawjwxx,SN Ic,39,56.806
ZTF24aaxnvou,SN II,56,117.873
ZTF24aayimjt,SN Ic,49,66.853
ZTF24aaysiig,SN Ia,19,57.061
ZTF24aaysowl,SLSN-I,84,357.986
ZTF24aayswrc,SN Ia,13,32.959
ZTF24aazmqbf,SN Ic,47,76.881
ZTF24aaztbct,SN Ic,16,49.078
ZTF24abakgyn,SN Ia,57,86.936
ZTF24abbggnw,SLSN-I,31,69.803
ZTF24abbrcrq,SN Ia,33,38.831
ZTF24abbrvli,SN Ia,25,40.88
ZTF24abbtigi,SN Ia,15,40.001
ZTF24abccoav,SN Ia,30,35.906
ZTF24abchpnc,SN Ic,11,40.879
ZTF24abcrgam,SN Ia,26,48.994
ZTF24abcugcf,SN IIn,29,74.835
ZTF24abdumvs,SN II,47,96.878
ZTF24abeivan,SN IIn,47,70.891
ZTF24abeywka,SN IIn,91,429.97
ZTF24abgoksi,SN II,129,170.726
ZTF24abhexdw,SN IIn,28,60.92
ZTF24abhgjqn,SN II,42,55.819
ZTF24abhhzrp,SN Ic,15,52.914
ZTF24abhptym,SN II,28,162.345
ZTF24abhrlfz,SN Ia,19,39.951
ZTF24abhsqly,SN Ic,24,27.985
ZTF24abijcdx,SN II,19,104.364
ZTF24abjftxl,SN IIn,71,137.73
ZTF24abjledk,SN Ia,26,33.024
ZTF24abkauuv,SN Ia,20,39.975
ZTF24abkjtsn,SN Ia,36,54.902
ZTF24ablsxza,SN Ic,26,41.883
ZTF24abltheg,SN Ic,20,40.861
ZTF24abluyoy,SN Ia,164,284.104
ZTF24abmtnee,SN II,87,201.733
ZTF24abnafgr,SN Ic,19,38.972
ZTF24abncuhj,SN Ic,73,95.803
ZTF24abnepdg,SN II,43,95.731
ZTF24abnsdev,SN II,15,85.886
ZTF24abnsght,SN Ic,19,39.985
ZTF24abpiwwi,SN IIn,109,177.834
ZTF24abprtdf,SN Ia,24,49.896
ZTF24abqkitr,SN Ia,18,32.913
ZTF24abrumcf,SN IIn,32,81.775
ZTF24abrzgil,SN II,34,73.958
ZTF24absgzvv,SN II,49,84.91
ZTF24absznoi,SN Ic,16,51.871
ZTF24abtartn,SN Ia,31,225.196
ZTF24abtbalq,SN II,55,64.878
ZTF24abtblmg,SN II,12,42.939
ZTF24abteeyt,SLSN-I,16,38.858
ZTF24abtlppf,SLSN-I,36,74.897
ZTF24abtmueg,SLSN-I,52,113.848
ZTF24abtnkbi,SN Ic,37,122.768
ZTF24abugkym,SN II,32,86.063
ZTF24abuvlqg,SN IIn,49,190.714
ZTF24abvbcxs,SN II,29,80.945
ZTF24abvbzbd,SN II,30,63.942
ZTF24abxpkhb,SN IIn,35,66.97
ZTF24abxqumm,SN II,41,105.878
ZTF24abxvcrm,SN II,37,194.642
ZTF24abxvcyp,SN Ia,28,44.852
ZTF24abxvxpa,SN II,20,56.785
ZTF24abxxfzd,SN Ia,18,41.086
ZTF24abxxniy,SN Ic,11,96.77
ZTF24abyaspl,SN Ic,25,58.907
ZTF24abydqbu,SN Ia,15,42.958
ZTF24abyhkwl,SN II,124,171.765
ZTF24abymeet,SN IIn,44,226.303
ZTF24abzmhtv,SN Ic,23,33.933
ZTF24abzwpkx,SN II,17,58.007
ZTF24acacfhu,SN IIn,16,66.938
ZTF24acaeozu,SN II,75,244.113
ZTF25aaabnwi,SN IIn,130,398.895
ZTF25aaadqsi,SN II,112,288.117
ZTF25aaaecsu,SLSN-I,36,82.053
ZTF25aabobjw,SN Ic,159,345.96
ZTF25aacawsr,AGN,114,487.708
ZTF25aacbbqh,SN II,44,106.842
ZTF25aacbtmd,SN II,49,105.999
ZTF25aacdjzo,SN Ic,72,166.784
ZTF25aadeltq,SN II,20,89.928
ZTF25aadhpuz,SN IIn,34,353.018
ZTF25aadhuav,SN Ia,13,27.99
ZTF25aadlcbi,SN Ia,32,78.135
ZTF25aadobka,SN Ia,49,51.921
ZTF25aaexcaf,SLSN-I,35,320.032
ZTF25aafdnuf,SN Ic,28,83.851
ZTF25aafofmu,SN IIn,20,64.919
ZTF25aafpooi,SN Ia,14,12.985
ZTF25aafrgdv,SN II,34,81.97
ZTF25aagbrpb,SN IIn,94,335.014
ZTF25aaglicm,SN II,33,101.819
ZTF25aagvkqj,SN Ia,16,43.969
ZTF25aahmdjb,SN IIn,24,65.973
ZTF25aaidlpx,SN Ia,23,64.925
ZTF25aairhqk,SN IIn,201,485.77
ZTF25aaizyki,SN Ia,50,96.813
ZTF25aajbcmc,SLSN-I,25,51.975
ZTF25aajqkss,SN Ia,18,51.021
ZTF25aajygin,SN II,91,274.134
ZTF25aanikpq,SLSN-I,13,24.016
ZTF25aanxtou,SLSN-I,40,71.035
ZTF25aaozpsn,SN Ia,23,59.886
ZTF25aaozsgb,SN Ia,24,194.267
ZTF25aaprgjx,SN II,26,55.869
ZTF25aapsdaj,SLSN-I,162,130.914
ZTF25aapwsyj,SN Ia,13,33.028
ZTF25aaqyaob,SN II,47,91.835
ZTF25aardatq,SN IIn,25,38.996
ZTF25aaremst,SN II,33,82.877
ZTF25aarhgtc,SN II,28,94.969
ZTF25aarutux,SN II,14,38.868
ZTF25aasltmi,SN IIn,31,123.846
ZTF25aatrvpg,SN Ia,12,22.99
ZTF25aattqgf,SN II,20,27.982
ZTF25aaufltl,SN II,101,220.654
ZTF25aauhsoe,SN II,117,223.657
ZTF25aaupzsu,SN Ic,20,15.055
ZTF25aavozkg,SN Ic,17,186.332
ZTF25aavxepu,SN Ic,12,17.039
ZTF25aawmdtp,SN Ic,19,101.957
ZTF25aaxegmh,SLSN-I,88,39.941
ZTF25aaxikcw,SN II,31,98.873
ZTF25aaynaqk,CV,91,150.866
ZTF25aayvwoc,SN Ic,13,28.914
ZTF25aazhyde,SLSN-I,14,54.001
ZTF25aazivum,SN IIn,19,28.912
ZTF25abbzcps,SN IIn,131,224.206
ZTF25abbzsku,SN Ic,80,41.987
ZTF25abclliu,SN Ic,75,142.809
ZTF25abcydiy,SLSN-I,173,71.804
ZTF25abflwya,SN Ia,26,64.912
ZTF25abghnwv,SN Ia,93,54.955
ZTF25abgvdwu,SN IIn,31,150.709
ZTF25abibaem,SN Ia,121,50.842
ZTF25abiiuxz,SN II,42,79.852
ZTF25abikqkb,SN II,21,69.941
ZTF25abimmqu,SN II,25,51.936
ZTF25abioriw,SN Ia,47,78.929
ZTF25abitcpd,SN Ic,77,153.758
ZTF25abiwxmw,SLSN-I,58,76.936
ZTF25abiwxpf,SN Ia,27,39.999
ZTF25abixhdc,SLSN-I,88,45.037
ZTF25abjjlgl,SN IIn,66,103.847
ZTF25abkrljh,SN Ia,28,70.905
ZTF25ablulax,SN Ic,83,142.698
ZTF25abmhchv,SN IIn,48,162.376
ZTF25abmjfcf,SLSN-I,37,86.875
ZTF25abmkbaa,SN Ia,21,36.91
ZTF25abmsmeg,SN Ic,64,112.873
ZTF25abmtjsr,SN II,58,113.796
ZTF25abogfap,SN Ia,16,47.903
ZTF25abphhyk,SN II,62,103.807
ZTF25abpkect,SN Ia,64,46.005
ZTF25abpzwne,SN IIn,32,25.996
ZTF25abqiaaj,SLSN-I,20,126.391
ZTF25abqsbxy,SN Ic,47,213.192
ZTF25absdrsu,SN Ia,41,81.855
ZTF25abudaqa,SN II,29,80.723
ZTF25abuvsvz,SN II,24,115.732
ZTF25abvbjre,SN Ic,39,29.867
ZTF25abvcnay,SN Ic,23,31.98
ZTF25abwkiga,SN II,63,71.809
ZTF25abxdlzo,SN II,38,96.716
ZTF25abxdupm,SN Ia,21,39.934
ZTF25abxfpgs,SN Ia,30,37.986
ZTF25abxfsza,SLSN-I,39,128.35
ZTF25abxjtkv,SN IIn,160,192.729
ZTF25abxlcab,SLSN-I,96,237.288
ZTF25abxqslz,SN IIn,47,63.959
ZTF25abyevmr,SN Ic,62,108.909
ZTF25abyrwhz,SLSN-I,54,107.948
ZTF25abzudli,SN Ic,24,58.886
ZTF25abzyzac,SLSN-I,38,57.97
ZTF25acapnze,SN Ia,10,78.815
ZTF25accmopr,SLSN-I,100,140.739
ZTF25accmunu,SN Ic,24,73.897
ZTF25aceeppc,SLSN-I,33,85.693
ZTF25aceglpp,SN II,48,73.897
ZTF25acehbsy,SN Ia,19,33.972
ZTF25acehjpc,SN Ia,42,76.836
ZTF25acelvvz,SN Ia,33,33.996
ZTF25acemaph,SLSN-I,211,205.665
ZTF25acfbplr,SLSN-I,30,52.801
ZTF25acffkdr,SN II,78,142.749
ZTF25acfkoue,SN Ic,23,60.919
ZTF25acfkvbq,SN Ia,30,59.965
ZTF25acfojmo,SLSN-I,138,187.732
ZTF25acfwpoa,SN Ia,37,45.98
ZTF25acfybcc,SLSN-I,31,60.986
